,epoch,loss
0,0,0.5060875084519386
1,1,0.423186909866333
2,2,0.39183510349988937
3,3,0.3765901614785194
4,4,0.3671475266933441
5,5,0.3603909090459347
6,6,0.3551372731924057
7,7,0.3508035080194473
8,8,0.34705121363401414
9,9,0.3438970939040184
10,10,0.3409978683233261
11,11,0.33843805316090586
12,12,0.33612235176563265
13,13,0.33390850365161895
14,14,0.3320017558217049
15,15,0.3300513173997402
16,16,0.32835004270672796
17,17,0.3266661994457245
18,18,0.3250624471664429
19,19,0.32359239357709885
20,20,0.3221608521401882
21,21,0.32077086768746377
22,22,0.3194642260670662
23,23,0.3182144187569618
24,24,0.3169568614959717
25,25,0.31580501436591146
26,26,0.3146369560360909
27,27,0.31350836446285246
28,28,0.31240860592126846
29,29,0.3113293249309063
