,epoch,loss
0,0,0.3503285588622093
1,1,0.2837820363402367
2,2,0.2531526858091354
3,3,0.23623045172691345
4,4,0.22513224997520448
5,5,0.21716304392814637
6,6,0.21123327766656877
7,7,0.20653108676671983
8,8,0.20277280849218368
9,9,0.19952156841754914
10,10,0.1967322711586952
11,11,0.19430511014461518
12,12,0.1921620704293251
13,13,0.19015883078575135
14,14,0.18836894167661666
15,15,0.1866755593419075
16,16,0.18522121961116791
17,17,0.18378969914913176
18,18,0.18253539833426474
19,19,0.18125162703990935
20,20,0.18003343292474747
21,21,0.17889950667619706
22,22,0.17781566379070282
23,23,0.1768259934067726
24,24,0.1758010085940361
25,25,0.17485344256162644
26,26,0.17393338716626167
27,27,0.1731072454690933
28,28,0.17224513405561448
29,29,0.17138483028411866
30,30,0.16969631922245026
31,31,0.169418035787344
32,32,0.1693638305544853
