,epoch,loss
0,0,0.5779251677195231
1,1,0.53822651664416
2,2,0.5202221165498098
3,3,0.5018277331988017
4,4,0.4834598469734192
5,5,0.4667788016796112
6,6,0.452502347946167
7,7,0.44040768305460615
8,8,0.43034710629781087
9,9,0.4218387691179911
10,10,0.41458242829640707
11,11,0.40836886914571124
12,12,0.40280672717094423
13,13,0.3981955642700195
14,14,0.3938391862710317
15,15,0.38991876133282977
16,16,0.38637710658709207
17,17,0.3831619578997294
18,18,0.3800334320068359
19,19,0.377347661892573
20,20,0.3747720416386922
21,21,0.3723332382043203
22,22,0.36988722475369773
23,23,0.3677049311796824
24,24,0.3657665526072184
25,25,0.3637500643730164
26,26,0.3617457466125488
27,27,0.35984779659907024
28,28,0.3581926920413971
29,29,0.35622383896509807
30,30,0.3530857632954915
31,31,0.35250665140151977
32,32,0.3522294775644938
33,33,0.3521153346697489
34,34,0.35194396670659384
