,epoch,loss
0,0,0.6252539702892304
1,1,0.5901760318517685
2,2,0.5493841099500656
3,3,0.514392831325531
4,4,0.4919054241657257
5,5,0.4771415027856827
6,6,0.4667511817932129
7,7,0.4589687029361725
8,8,0.45283014817237854
9,9,0.4476645861387253
10,10,0.44329991588592527
11,11,0.4396721306324005
12,12,0.4362634866476059
13,13,0.43337827308177945
14,14,0.43065649642944337
15,15,0.4281355746269226
16,16,0.42586727590560913
17,17,0.42370271368026735
18,18,0.42157779340744017
19,19,0.4197382263183594
20,20,0.4166179993391037
21,21,0.41620941343307494
22,22,0.4160232912063599
23,23,0.4157907448291779
24,24,0.41561301288604735
