,epoch,loss
0,0,0.6461666392564773
1,1,0.6369046648979187
2,2,0.635282809317112
3,3,0.6340136788964271
4,4,0.6328034709572792
5,5,0.631560650908947
6,6,0.6302666323065758
7,7,0.6289288528084755
8,8,0.627546136879921
9,9,0.6260968100428581
10,10,0.6245813085913658
11,11,0.6229878091812133
12,12,0.6212981012701988
13,13,0.6195806446909905
14,14,0.6178210053801536
15,15,0.6163971276640892
16,16,0.6161328638672828
17,17,0.6159697963595391
18,18,0.6157924160480499
19,19,0.6155786731362343
20,20,0.6153818513512611
21,21,0.615200291800499
22,22,0.6150234725236893
23,23,0.6148614789247513
24,24,0.6146632679343224
25,25,0.6144455549359321
26,26,0.6142723560929298
